entity_id,P,A,Comp,GSI,OSR,NDVI,NDBI,FAR,SC,AH,Po,UH,UA,Longitude,Latitude,hdbscan_labels
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:0,0.456854494,0.653348124,0.87773503,0.002037559,0.413603972,0.404126659,0.70305782,-1.259938462,0.026500619,-0.747049834,0.998609923,-0.911712815,0.493866386,118.9913226,32.12542466,12
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:1,0.563181123,0.729828808,0.952300743,0.00406379,0.367821235,0.652302319,0.331980524,-1.256393859,0.022947445,-0.909469792,0.998945561,-0.240215847,0.536323821,118.9814784,32.1288457,12
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:2,0.313285122,0.571187699,0.941695565,0.010335443,0.305916952,0.364533865,0.770205331,-1.244349951,0.040262835,-0.974209068,0.995026327,-0.753019521,0.392293574,118.9910718,32.15155437,8
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:3,0.357902395,0.598900509,0.938590623,0.147182308,0.129773325,0.444395305,0.605150387,-0.976755455,0.018210771,-1.002416323,0.874954919,-1.19407835,0.540790712,118.9866848,32.15963974,8
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:4,0.426080563,0.632422128,0.866179837,0.140066211,0.133059771,0.510557542,0.697276496,0.470548707,0.018238156,2.452850201,0.926746402,2.879556269,0.564110176,118.9951864,32.16214047,13
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:5,0.305445534,0.553042535,0.841299571,0.055014275,0.19503433,0.573577856,0.629542397,-1.1017636,0.017527889,-0.666411978,0.958153582,-0.757119769,0.528786751,118.7286403,32.11818348,12
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:6,0.447049275,0.655356568,0.941212221,0.021517352,0.257288113,0.74391297,0.276879648,-1.073432429,0.007487237,1.304245959,0.981784147,0.189860437,0.67901024,118.701328,32.12386291,10
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:7,0.347681001,0.577418466,0.825467258,0.093907158,0.159573806,0.782953746,0.582799108,-0.715885202,0.010454583,0.286255896,0.921625304,-0.445519847,0.672972028,118.7132832,32.12365512,11
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:8,0.417306902,0.634762144,0.926313817,0.422272286,0.05987684,0.648069989,0.529771741,2.001344434,0.012043579,0.910078734,0.883525009,1.46201884,0.694454709,118.6992995,31.96558522,17
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:9,0.367893398,0.604346706,0.931844388,0.135097023,0.13545527,0.624661223,0.449105924,-0.712487022,0.014745332,-0.29642454,0.953634464,-0.137068307,0.578211835,118.696159,31.96621849,-1
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:10,0.301650072,0.561468729,0.92268197,0.271784699,0.089098689,0.477942865,0.669998374,0.231285289,0.017080672,0.171811408,0.897002682,0.997458687,0.580668756,118.6921047,31.96453069,35
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:11,0.341176227,0.58113465,0.88240543,0.295139166,0.083631744,0.650300292,0.519027014,1.228822566,0.015462142,1.146886031,0.885815573,1.570232616,0.606572519,118.6928017,31.96688184,17
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:12,0.310886946,0.566753593,0.918491461,0.108981908,0.149700873,0.502846785,0.639943634,-0.292009583,0.014854147,1.306285573,0.930482721,0.459167964,0.618060519,118.6879732,31.9652616,1
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:13,0.32761168,0.566872659,0.840356684,0.394976768,0.064308354,0.665823406,0.585197125,2.441852398,0.012057832,1.456523318,0.788795276,1.29662824,0.624701684,118.6900375,31.96744972,17
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:14,0.474616526,0.666096907,0.889558104,0.117766113,0.144560081,0.595104089,0.538850086,-0.392317164,0.01418885,0.803515344,0.965509521,1.195400056,0.63122828,118.6861475,31.96819081,14
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:15,0.306528075,0.565328998,0.928904744,0.106407637,0.151286145,0.665024467,0.511615598,-0.592985696,0.012818114,0.441061951,0.934409752,0.220070763,0.626837821,118.6828616,31.96630383,11
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:16,0.380240533,0.609052232,0.90775205,0.108271228,0.150134746,0.369437593,0.716125683,-0.990957599,0.014267721,-0.812345038,0.94676522,-0.666477869,0.607602781,118.680449,31.96720113,32
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:17,0.397611566,0.625012408,0.947505434,0.232713426,0.099391221,0.49693145,0.534613812,-0.122687878,0.013395767,-0.025723908,0.940446764,0.565759765,0.613780063,118.6944229,31.97166281,25
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:18,0.375905329,0.607549594,0.917309132,0.319591265,0.078353198,0.499019202,0.515513571,-0.461747371,0.013423451,-0.819231984,0.886812047,-0.550763671,0.693546037,118.6740617,31.96943236,-1
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:19,0.297540221,0.558551496,0.920099861,0.146909813,0.129896219,0.547583377,0.616736889,-0.507627773,0.016909383,0.056400521,0.940507683,0.265106203,0.539572255,118.696404,31.96864679,34
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:20,0.374518426,0.587871584,0.781245343,0.558996577,0.041275436,0.355649595,0.763343419,0.286436934,0.01025507,-0.732676374,0.694456136,-0.593586497,0.692411375,118.6704208,31.96909131,5
4:af160ef2-bf16-4df0-ad2e-0acd3f720b52:21,0.337226673,0.584587428,0.928296355,0.049012535,0.202695024,0.793720513,0.282489147,-1.123737735,0.021794124,-0.694189456,0.968677006,-0.740234219,0.587378837,118.6819026,31.96910432,-1
